# t(ms),binnum,snr,gpe,stn
2,1,51,83,17
102,2,33,31,23
202,3,22,28,9
302,4,18,28,10
402,5,20,28,14
502,6,24,31,12
602,7,23,28,15
702,8,20,30,11
802,9,26,34,14
902,10,16,25,12
1002,11,20,28,15
1102,12,17,30,10
1202,13,20,26,13
1302,14,24,30,9
1402,15,19,27,15
1502,16,22,30,12
1602,17,20,30,11
1702,18,24,28,12
1802,19,28,32,17
1902,20,13,26,7
2002,21,18,27,11
2102,22,16,28,11
2202,23,26,33,14
2301,24,15,21,10
2401,25,10,28,12
2501,26,23,30,15
2601,27,19,29,10
2701,28,20,27,13
2801,29,23,32,10
2901,30,28,31,15
3001,31,15,25,10
3101,32,16,28,13
3201,33,31,34,13
3301,34,15,25,13
3401,35,23,32,12
3501,36,20,27,12
3601,37,19,30,12
3701,38,18,27,17
3801,39,26,33,9
3901,40,22,25,16
4001,41,16,27,10
4101,42,20,31,8
4201,43,24,29,13
4301,44,17,27,13
4401,45,22,32,13
4501,46,21,26,11
4601,47,27,36,15
4701,48,9,24,11
4801,49,27,30,11
4901,50,17,28,15
5001,51,25,29,10
5100,52,23,34,15
5200,53,22,25,14
5300,54,27,33,12
5400,55,19,25,12
5500,56,18,29,11
5600,57,20,27,14
5700,58,15,30,12
5800,59,32,32,12
5900,60,22,29,13
6000,61,17,25,10
6100,62,20,26,10
6200,63,25,36,15
6300,64,17,25,12
6400,65,20,30,10
6500,66,25,29,12
6600,67,21,27,12
6700,68,20,32,14
6800,69,21,27,11
6900,70,22,26,12
7000,71,19,29,14
7100,72,18,31,10
7200,73,23,27,16
7300,74,23,30,11
7400,75,18,28,12
7500,76,21,28,17
7600,77,21,30,10
7700,78,21,28,11
7799,79,17,29,15
7899,80,22,26,5
7999,81,22,29,17
8099,82,17,27,9
8199,83,20,33,11
8299,84,21,26,14
8399,85,20,27,10
8499,86,23,30,12
8599,87,21,29,17
8699,88,19,28,7
8799,89,19,25,10
8899,90,30,33,15
8999,91,17,26,12
9099,92,24,30,16
9199,93,20,30,12
9299,94,23,29,10
9399,95,17,31,14
9499,96,21,24,15
9599,97,24,33,13
9699,98,21,27,9
9799,99,11,29,10
9899,100,27,27,10
